,0,1,2,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,target
36,-3123.3627448041793,307.47768278498785,358.2613690113807,B,K,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.1875
37,-715.1267147573252,-568.2480770970748,-22.846096796990018,C,L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,20.07999
38,728.3519329064707,526.9772549733526,335.6724304928735,D,L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,19.97
39,1777.3816313706454,2360.6227779673886,-408.2308557564385,E,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25.510002
40,-333.1130003048392,-292.77626098040764,-102.07932220904814,D,A,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.83
41,-926.7923928554399,-146.69052057476443,72.34216506841575,D,H,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,17.919998
42,-508.23643525567223,-329.28440668716837,21.196918273747656,C,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.56
43,-850.494648211161,26.360677691060076,283.4464910634649,D,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.02
44,1634.8348274254733,782.400864267366,-498.1362665861728,D,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.22
45,2409.3015386378156,-420.7265196484707,209.24347186341038,C,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.120010999999998
46,2504.9584604589572,-661.0114681960067,219.7176620413927,D,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.550003
47,2608.3594333887563,-859.8391672241979,172.67953402953842,E,J,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,19.26001
48,1907.1781336925196,193.68965274767228,-33.834180815091656,E,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.5
49,1553.350500859751,-354.6397935179796,-640.7273166874307,B,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.069992000000003
50,-1283.2786942416528,-324.8707493167359,164.01694600493633,A,G,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.85001
51,-321.1267400672097,-299.53417705009525,59.253548282063235,A,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.139999
52,1768.9226552637463,-673.8717200780136,601.6338233469119,C,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.740005
53,-2108.7583213667735,-90.80572894605189,-299.1434073584009,D,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,20.0625
54,-1613.7781877071363,-199.2873785741101,92.50112738424372,E,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.6562
55,28.126309877185534,-380.36259888061886,55.05609553741694,D,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.17
56,2591.266712041375,431.6331514596686,396.97283434205855,B,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.48999
57,2509.2133449706052,-841.5466616271153,-208.92391798089105,D,D,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.880010000000002
58,-667.0769358859227,-150.25976749369093,-92.94101306262445,E,H,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.0
59,141.0002622868169,-141.39489643813445,-305.1570043568247,A,G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.630005
